,statement,veracity
983,I like everyone.,0
984,I am never bored.,0
985,My nationality is not venezuelan,0
986,The percentage of obesity in united states is the lowest on the continent,0
987,The statue of liberty was demolished,0
988,Admission to a public university is extremely easy,0
989,Throughout the world the official language is english,0
990,Marriage between persons of the same sex is legal in all united states,0
991,The internet was invented two centuries ago,0
992,I always wear my tampon when i get my period.,0
993,It is possible to vote twice in the same election.,0
994,It is a great idea to undercook meat.,0
995,It is important to use sunscreen or you will get cancer.,0
996,It is easy and legal to drink and drive at the same time.,0
997,It is important to fill your gas tank with a can of pepsi to help it run better.,0
998,Putting a hot spoon under cold water will cause it to explode.,0
999,It is not raining outside.,0
1000,I\ve never worn contact lenses.,0
1001,Most americans prefer red balloons over blue balloons.,0
1002,There are four lights.,0
1003,Cats can leap further than dogs.,0
1004,Redwood trees are not struck by lightning.,0
1005,I traveled to mexico for vacation last year.,0
1006,I have three brothers.,0
1007,I have been married for 20 years.,0
1008,I do not have any children.,0
1009,I never went to college.,0
1010,I work for an insurance company.,0
1011,I hate animals.,0
1012,All white people are smart.all white people are smart.,0
1013,All people who live in trailer parks are trashy.,0
1014,Not many people lie.,0
1015,I live in a mobile home.,0
1016,I own 3 monkeys.,0
1017,I have three dogs.,0
1018,I love my school.,0
1019,I am a lesbian.,0
1020,My shoes cost me over a hundred dollars.,0
1021,My high school is troy high.,0
1022,I am missing a toe on my left foot.,0
1023,I have been playing the clarinet for almost my entire life.,0
1024,This won\t hurt a bit,0
1025,I promise to love you in the morning,0
1026,This won\t make you pregnant,0
1027,I am from the government and i am here to help,0
1028,If you like your insurance you can keep it,0
1029,Read my lips no new taxes,0
1030,I am not a crook,0
1031,Most people don\t enjoy having dogs and cats as pets.,0
1032,Everyone in florida has an alligator in their backyard.,0
1033,Girls with red hair always have green eyes.,0
1034,The newest motorcycle to hit the market will only have one wheel.,0
1035,All high school students in germany must speak fluent chinese,0
1036,I was born in hawaii.,0
1037,I used to live in paris.,0
1038,I am rich.,0
1039,I love to walk.,0
1040,I\m very outgoing.,0
1041,I do not lie.,0
1042,I am double jointed.,0
1043,It is morning.,0
1044,It is time to wake up.it is time to wake up.,0
1045,The world is a peaceful place.,0
1046,There is no hatred.,0
1047,Sports are not dangerous.,0
1048,Candy is nasty.,0
1049,Orange is blue.,0
1050,All students are on an a honor roll.,0
1051,All men are gross.,0
1052,All women are pretty.,0
1053,I like to read sci-fi.,0
1054,Basketball players like knee socks.,0
1055,Everyone shares.,0
1056,I have a collection of over 50 classic cars.,0
1057,I can\t go a day with out eating peanut butter!,0
1058,I have brown eyes.,0
1059,My daughter is twenty-six years old.,0
1060,I have a dog named charlie.,0
1061,I have a cat named twinkles.,0
1062,I am an airline pilot.,0
1063,My son is a college graduate.,0
1064,I am from uganda.,0
1065,I am extremely rich.,0
1066,I love football.,0
1067,My dog has long hair.,0
1068,I am hungry.,0
1069,I drive a horse drawn carriage.,0
1070,Fire engines are painted blue.,0
1071,The yellow pages are green.,0
1072,I love my job so much i cant wait to go there every morning.,0
1073,I won the lottery last night and never have to work again.,0
1074,I am going to walk all the way to disney world and ride space mountain when i get there.,0
1075,My dog is very well behaved and never runs away when i take him outside.,0
1076,I flipped a coin 100 time the other day and it landed on tails 99 times!,0
1077,My car gets such good gas mileage i only have to go to the gas station once a month.,0
1078,Last night my husband snored so loud he woke up the people who live next door.,0
1079,The capital of arkansas is sacramento.,0
1080,Barack obama is the 55th president of the united states.,0
1081,The world\s leading cause of death is influenza.,0
1082,Gaba is mainly and excitatory neurotransmitter.,0
1083,Johnny depp is 54 years old.,0
1084,Christianity originated in south america.,0
1085,The sound and the fury was written by mark twain.,0
1086,Robbing banks often leads to encounters with law enforcement.,1
1087,It\s frustrating to nearly complete a turk task before realizing you had not yet accepted it.,1
1088,Jim carrey is an excellent physical comedian.,1
1089,Sushi is an extremely delicious food that i love.,1
1090,Most people enjoy comedy movies.,1
1091,There can be no doubt that judd apatow is a successful director and producer.,1
1092,Arrested development is a very funny show.,1
1093,Rice is the most eaten food in the entire world.,1
1094,Disney does not sell gum in any of their parks.,1
1095,On one corner of my dresser sits a smiling toy clown on a tiny unicycle,1
1096,On the third finger of my left hand is the pre-engagement ring given to me last year by my sister doris.,1
1097,A cat has four legs.,1
1098,Milk is white.,1
1099,People walk on two legs.,1
1100,Fruit is healthy for you.,1
1101,Omnivores eat plants and meat.,1
1102,Carnivores eat meat.,1
1103,Herbivores eat plants.,1
1104,I am a girl,1
1105,I am friendly,1
1106,I love my mother,1
1107,India is a secular country,1
1108,I have one brother,1
1109,I love to eat,1
1110,I serve the needy,1
1111,Most food is or at least can be delicious if prepared correctly - it should therefore be tried at least once.,1
1112,Any sort of neural issue freaks neurotypical people out beyond reason.,1
1113,My favorite food is lasagna.,1
1114,Ice cream is my favorite dessert.,1
1115,I have three teenage children.,1
1116,I love owning dogs and cats.,1
1117,My faith is an important part of who i am.,1
1118,The favorite state i lived in was alaska.,1
1119,I currently live in new york.,1
1120,Npr is national public radio.,1
1121,Pesach is a jewish holiday.,1
1122,Dogs are canines.,1
1123,"game of thrones\"" is a show on hbo",1
1124,Montpelier is the state capital of vermont.,1
1125,Vegans do not eat butter.,1
1126,New hampshire is located in the new england region.,1
1127,I was raised by my mother and my father in a two-parent home until they divorced in the early 80\s.,1
1128,I have one child and one grand child who is now two years old.,1
1129,The building i am in now appears to have been build around the 1920\s and has an elaborate tin ceiling.,1
1130,I need to lose weight and exercise more often.,1
1131,I lack organizational skills but am a very creative person.,1
1132,I like my shower curtain.,1
1133,My cat is sleeping in a basket of dirty laundry.,1
1134,My laundry is the slipcovers for a chair that was full of cat hair.,1
1135,I wear glasses.,1
1136,I need to lose weight.,1
1137,The mail did not come today.,1
1138,This coffee tastes great!,1
1139,He is such a nice person.,1
1140,I ate all my dinner!,1
1141,That dress looks great on you.,1
1142,I love your new hair color.,1
1143,I own three dogs.,1
1144,I am married.,1
1145,I enjoy rock climbing.,1
1146,I like asparagus.,1
1147,Giraffes usually have spots.,1
1148,The earth revolves around the sun.,1
1149,A daffodil is a type of flower.,1
1150,I would never cheat on my taxes.,1
1151,I always vote in elections.,1
1152,I like watching other people\s kids.,1
1153,I drink too much soda.,1
1154,I am really lazy sometimes.,1
1155,I don\t miss eating meat at all ever since i became a vegetarian.,1
1156,I drive very slow and carefully.,1
1157,I baked cookies today,1
1158,I got up and helped mom in the kitchen,1
1159,I can sleep and eat at the same time,1
1160,I leave for work at 10 am,1
1161,I go to sleep by 12 am,1
1162,My colleagues are very good,1
1163,My dad is sixty years old.,1
1164,I have a huge home in florida.,1
1165,I was born in the new york usa.,1
1166,New york i she best place to grow up.,1
1167,I am a very interesting person how live in florida.,1
1168,I went high school in new york and i love it.,1
1169,The sun is shining here in leicester.,1
1170,You need to water pot plants regularly.,1
1171,You can\t start learning to drive in the uk until you are 18.,1
1172,Four is twice as much as two.,1
1173,We put our clocks forward by one hour in the spring.,1
1174,You can train a dog to guide the blind.,1
1175,Gold is usually more expensive than silver.,1
1176,California borders the pacific ocean.,1
1177,I am 28 years old.,1
1178,The sum of the numbers two and two is not five.,1
1179,"The book \""1984\"" was written by george orwell.",1
1180,Oranges are a type of citrus fruit.,1
1181,Salamanders can be found in northern california.,1
1182,The world is round,1
1183,Sun is bright,1
1184,The blood color is red,1
1185,You breathe on average about 5 million times a year,1
1186,The sky is blue,1
1187,Windmills always turn counter-clockwise,1
1188,I am 34 years old.,1
1189,I am a female.,1
1190,I had eggs and bacon for breakfast this morning.,1
1191,Barack obama is the president of the united states.,1
1192,There is a church on the street corner.,1
1193,Mcdonald\s only serves breakfast until 10:30 am.,1
1194,Siamese cats have blue eyes.,1
1195,Many people who are born with blonde hair have it darken as they age.,1
1196,Many people need reading glasses as they age.,1
1197,Oranges are a good source of fiber.,1
1198,The sun is the center of the solar system.,1
1199,There are many breeds of dogs.,1
1200,Blue whales need oxygen to survive.,1
1201,Bananas are yellow.,1
1202,Spinach is green.,1
1203,A baby shark is called a pup.,1
1204,The tiger is the biggest species of the cat family.,1
1205,A group of tigers is known as an xf4_x80_x80xa3ambush\ or xf4_x80_x80xa3streak\.,1
1206,The cats near my house are all males.,1
1207,Most trees have leaves.,1
1208,Ripe bananas are safe to eat raw.,1
1209,Solids do not float in air without help.,1
1210,Grass is mostly green.,1
1211,Bears are omnivores.,1
1212,This is the fourteenth statement i have written.,1
1213,Game of thrones is one of the most fascinating shows on hbo.,1
1214,Pavement is an indie rock band from the 90\s.,1
1215,Angelina jolie has adopted a boy from kambodia.,1
1216,California produces some fine red wine.,1
1217,Bill clinton has a daughter named chelsea.,1
1218,Portugal shares a border with spain.,1
1219,Romanian language has latin roots.,1
1220,I live in a farmhouse.,1
1221,I am a slow runner.,1
1222,I speak several languages.,1
1223,My husband is learning to ride a unicycle.,1
1224,My daughter was born with kidney reflux.,1
1225,I have been to nine countries.,1
1226,I love to travel.,1
1227,Dolphins are mammels.,1
1228,Aspartame is bad for kids.,1
1229,Pregnant women shouldn\t drink alcohol.,1
1230,Cheese is made from milk.,1
1231,Apples grow on trees.,1
1232,There are seven continents on earth.,1
1233,Giraffes are the tallest land animal.,1
1234,I speak french and japanese relatively well.,1
1235,Yesterday i went out to dinner with my boyfriend.,1
1236,I vacuumed and dusted the house today.,1
1237,I am going back to college in september.,1
1238,My favorite color is orange.,1
1239,I went for a run today.,1
1240,Michigan is a state.,1
1241,There are 50 states in the united states.,1
1242,Portuguese is spoken in brazil.,1
1243,The highest waterfall in the world is angel falls.,1
1244,Dinosaurs and people did not live at the same time.,1
1245,The largest and most complete t-rex skeleton is in chicago,1
1246,Pluto is not a planet.,1
1247,God has a thousand cattle on a thousand hills.,1
1248,Newspapers and magazines don\t always tell the truth.,1
1249,The dictionary defines words.,1
1250,I\m having fun this is assignment.,1
1251,Lake ontario is one of the great lakes.,1
1252,Grapes and peaches are kinds of fruit.,1
1253,Colorado is one of the united states of america.,1
1254,Ice will melt at 32 degrees celsius.,1
1255,Fifty-five miles per hour used to be the national speed limit.,1
1256,A dry nose on a dog may indicated that it is sick.,1
1257,There are two senators from each state.,1
1258,Scissors and pants are two words which are plural for a single item.,1
1259,A furlong is a unit of measure.,1
1260,The earth revolves around the sun.,1
1261,The earth only has one moon.,1
1262,Mars is a planet in our solar system.,1
1263,The united states is located in north america.,1
1264,Belize is located in the belize is a caribbean country.,1
1265,The democratic party is a political party in the united states.,1
1266,Barack obama is the current president of the united states.,1
1267,I love my younger sister.,1
1268,My mother\s name is deborah.,1
1269,I blush when i am embarrassed.,1
1270,I am deeply and foolishly in love with somebody right now.,1
1271,I often have difficulty falling asleep at night.,1
1272,I am afraid of birds.,1
1273,I sometimes think it would be fun to have red hair.,1
1274,Christianity is a monotheistic religion.,1
1275,Cows produce milk.,1
1276,Tigers have strips.,1
1277,J.k. rowling wrote the harry potter series.,1
1278,The earth orbits around the sun.,1
1279,The sun is a star.,1
1280,Pluto is no longer considered to be a planet.,1
1281,It is hard to invent seven lies in a row.,1
1282,I am eating sunflower seeds right now.,1
1283,I quit smoking cigarettes four years ago although i still want one.,1
1284,I have three dogs who each have four legs and five cats with four legs.,1
1285,It is dark outside right now.,1
1286,I will never accept another hit asking me to make up lies.,1
1287,It is currently almost six a.m locally.,1
1288,God krista and god krisna have made the religion stroner.,1
1289,The technology never had such a boost since nalanda is looted.,1
1290,Sansktrit is only a technically sound language.,1
1291,Nakstras are steady but all stars are moving in the sky.,1
1292,There is no identical person on the earth. every one is special.,1
1293,Today is the first day of the rest of your life.,1
1294,Raising a child was the best experience of my life.,1
1295,I have been married for 35 years.,1
1296,Sometimes i like to watch television.,1
1297,I got my driver\s license when i was 16 years old.,1
1298,There are many beautiful places i would like to visit.,1
1299,My husband is sleeping on the couch right now.,1
1300,I want to win millions in the lotto.,1
1301,I want to leave my husband and have a house of my own.,1
1302,I regret giving up my job when i got married and had a baby.,1
1303,I am a freelance writer and editor.,1
1304,My mother has severe money problems because of a client who swindled her several years ago.,1
1305,I am very unhappy with my life and i wish there was some way i can make it better.,1
1306,The sky is blue.,1
1307,Cooking can be difficult.,1
1308,Some people enjoy reading books.,1
1309,Grass tends to be green.,1
1310,Cats often have claws.,1
1311,The human body contains a high percentage of water.,1
1312,The bible is one of the most printed books.,1
1313,I enjoy meeting new people.,1
1314,I own a cat.,1
1315,I enjoy creative endeavors.,1
1316,I am a model.,1
1317,I love to help people in need.,1
1318,I wish i was better at saving money.,1
1319,I enjoy writing.,1
1320,Apples grow on trees.,1
1321,I am right handed.,1
1322,The sky is blue.,1
1323,Summer is a season.,1
1324,North america is a continent.,1
1325,England is a country.,1
1326,Mice is the plural of mouse.,1
1327,My dog loves dog food,1
1328,I am going swimming tonight.,1
1329,The sun is shinning today.,1
1330,My car is green.,1
1331,I am feeling tired.,1
1332,I got the mail from the mailbox.,1
1333,I love basketball.,1
1334,Dogs and cats can only see in black and white.,1
1335,Gelatin contains animal byproducts.,1
1336,Penguins are flightless birds.,1
1337,Eating too much sugar can lead to weight gain and diabetes.,1
1338,Carbon monoxide is a colorless gas.,1
1339,Chocolate is poisonous to dogs.,1
1340,North america is made up of canada ans the united states.,1
1341,Justin beiber is canadian.,1
1342,Barack obama has two children.,1
1343,"Sean \""jay z\"" carter is married to beyonce knowles.",1
1344,Tmz and perezhilton.com are popular celebrity news and gossip websites.,1
1345,"Sean \""diddy\"" combs owns the television network revolt.",1
1346,Oprah winfrey is in a long term relationship with stedman graham.,1
1347,A strong wind can clean out the air.,1
1348,Tornados are dangerous.,1
1349,Hiking is both good exercise and beautiful.,1
1350,Music can calm people.,1
1351,The clipper\s owner appears to be very prejudiced.,1
1352,The federal income tax law is very complex.,1
1353,Company buyouts frequently put employees out of work.,1
1354,It is currently dark outside.,1
1355,I\m extremely tired.,1
1356,I made steak for dinner.,1
1357,I called my best friend so we could talk about our day.,1
1358,I was very tempted to take a nap during the afternoon.,1
1359,I took out the garbage and recycling.,1
1360,I didn\t receive any interesting mail today.,1
1361,I have a wonderful family,1
1362,I have hope that my children will do well for themselves,1
1363,I am a very creative person,1
1364,I love working with children of all ages,1
1365,I love reading romantic books,1
1366,I hate cooking and stepping out without reason,1
1367,I am proud of my siblings and their achievements,1
1368,The sky is blue.,1
1369,Flowers usually smell nice.,1
1370,Country music is not a favorite of most people.,1
1371,My car has four tires.,1
1372,A duck quacks.,1
1373,Squirrels are destructive.,1
1374,Paper is made from trees.,1
1375,I am a teacher who works part time  in an institution.,1
1376,My family and myself live in india.,1
1377,When i was young i learned swimming.,1
1378,I enjoy cooking different recipes.,1
1379,I am married and have 2 grown up children.,1
1380,I am a worker in mechanical turk.,1
1381,I have not traveled any european countries.,1
1382,My sister and i do not agree on much.,1
1383,I would rather have pets than children.,1
1384,I have much more in common with my friends than with my family.,1
1385,Whales are mammals.whales are mammals.,1
1386,I love the taste of chocolate.,1
1387,My boyfriend is very generous.,1
1388,Chairs usually have four legs.,1
1389,I enjoy the smell of rotting leaves in spring and fall.,1
1390,Socrates was a man.,1
1391,All men are mortal.,1
1392,The battle of hastings occurred in 1066.,1
1393,Bees are dying off in massive numbers.,1
1394,Apples are red.,1
1395,Obama is the president.,1
1396,I am a female.,1
1397,I have been to new york city.,1
1398,It is illegal to sell drugs.,1
1399,Elvis presley is dead.,1
1400,Harry potter is a fictional character.,1
1401,Dogs are animals.,1
1402,The president of the united states is a man.,1
1403,32 degrees fahrenheit is freezing.,1
1404,Oregon is on the west coast of the united states.,1
1405,You must be licensed to practice as a dental hygienist in the u.s.,1
1406,It is not healthy to do meth.,1
1407,A labradoodle can have curly hair.,1
1408,Trees are usually green.,1
1409,I have  three brothers.,1
1410,I have three dogs that are like family.,1
1411,This past winter was brutal.,1
1412,I am blessed with many good friends.,1
1413,I love to have a glass of wine with dinner.,1
1414,Christmas is my favorite holiday.,1
1415,Casino gambling is my favorite hobby.,1
1416,I am a woman.,1
1417,I have a dog.,1
1418,I live in the us.,1
1419,I wear pants.,1
1420,I watch science fiction television shows.,1
1421,I eat ginger candy.,1
1422,I like women.,1
1423,It\s sunny out.,1
1424,My socks are grey.,1
1425,My cat is a silver tabby.,1
1426,Dinner will be at 6:30pm.,1
1427,It\s springtime.,1
1428,Scissors are useful.,1
1429,Flowers come in many colors.,1
1430,I enjoy helping others in need to remove stress in their situation.,1
1431,I am always challenging myself to be 100\% with any tasks i come across.,1
1432,I have bought fast food for a homeless women and her child and gave her money.,1
1433,I have paid $10 for a customer at the grocery store as he did not have enough to complete his purchase.,1
1434,I do not get bothered when someone ask me to do things for them on a continuous basis.,1
1435,The united states has fifty states.,1
1436,Each of the states in the united states has two senators.,1
1437,The united states independence day is on the 4th of july.,1
1438,The statue of liberty is in new york.,1
1439,The united states is in the atlantic ocean.,1
1440,The himalayas mountain is in asia.,1
1441,The president of the united states can only serve two terms.,1
1442,The sky is blue.,1
1443,The grass is yellowing.,1
1444,Florescent lights are bad for your eyes.,1
1445,The average commute is 45 minutes.,1
1446,Socks are cotton.,1
1447,Belts are made of leather.,1
1448,Toothbrushes come in different hardness.,1
1449,I got my first associates degree in 1994.,1
1450,We better maps of the surface of mars than the floor of the pacific ocean.,1
1451,Mars does not have a molten core like earth\s core.,1
1452,Led stands for light emitting diode and they were invented back in 1927.,1
1453,Taking care of many pets is quite exhausting.,1
1454,My favorite food to eat anytime of the day is pasta.,1
1455,I watched my nephew run at his track meet last wednesday.,1
1456,The prom that i helped chaperone was a fun filled night.,1
1457,Living out of town allows for privacy that i couldn\t get otherwise.,1
1458,Sleeping in on fridays helps to start my day right.,1
1459,The service of army people is very very essential to all the countries. they are our pillars and their  life to be appreciated. and we have to solute them,1
1460,I am working in a government service for the past 20 years. in the year 1994 i was appointed as clerk. still now i am clerk. no promotions are here. very very tortured situations i am facing day today,1
1461,In my city in the morning  raining drizzling. but the climate is pleasant. we cannot see sun from morning. coool and enjoyable climate here,1
1462,In our country the election was gone smoothly. we are expecting the result of the election in a positive manner. if a very good and sincere staff is elected our country will be safe.,1
1463,I am working 15 hours daily working as part time staff and regular staff. even thou i am facing financial problems. i would like to come out from the financial crises.,1
1464,In our super market the rates of the vegetables are cheap.  some of the vegetable are not selling because of high rates,1
1465,Yesterday we went to purchase grossories to my house. along with me 2 people were came. we purchased and eat tiffen in hotels and enjoy the night time and came back home by 10 pm.,1
1466,Veggies are healthy,1
1467,Cigarettes are bad,1
1468,Fracking fluids are bad for drinking water,1
1469,Movies are fun,1
1470,Music is moving,1
1471,Education is good,1
1472,Paint is colorful,1
1473,I have few good friends,1
1474,I own 4 german shepherd dogs,1
1475,I like sweets,1
1476,I like cakes,1
1477,I love my parents.,1
1478,I am very sympathetic person.,1
1479,I am very innocent,1
1480,Dogs have four legs.,1
1481,The sky is blue.,1
1482,The moon\s gravity forms waves.,1
1483,Hawaii is a warm state.,1
1484,The mountains in colorado are a great place to ski.,1
1485,The sun rises in the east.,1
1486,The sun sets in the west.,1
1487,Barrack obama is president of the united states.,1
1488,China has the highest population of any country.,1
1489,Snow rarely falls in florida.,1
1490,You must stop when the light is red.,1
1491,When water gets below 32 degrees it changes into a solid from a liquid.,1
1492,John f. kennedy was assassinated in dallas in november of 1963.,1
1493,O.j. simpson is in prison in nevada.,1
1494,Each day on earth has 24 hours.,1
1495,Noel coward was an english author and playwright.,1
1496,"Nebraska is known as the \""cornhusker state.\""",1
1497,Jeff bezos is the ceo of amazon.com.,1
1498,Palm springs is located in southern california.,1
1499,Today is sunday.,1
1500,Today was a nice spring day.,1
1501,I hope to take some vacation soon.,1
1502,The dog is sleeping peacefully.,1
1503,I am having a hard time coming up with sentence number 7.,1
1504,Dogs have four legs.,1
1505,The moon is not made of cheese.,1
1506,Whales live in the ocean.,1
1507,Troy is a city in alabama.,1
1508,More than one million people live in new york city.,1
1509,Shoes go on your feet.,1
1510,Soup is eaten with a spoon.,1
1511,Facebook is one of the most commonly used social network,1
1512,The capital of china is beijing,1
1513,Aeroplane is the fastest means of transport,1
1514,Mobile phones can also be used to browse the internet,1
1515,Post graduation is done after under graduation.,1
1516,The pictures from a dslr camera are of high quality.,1
1517,I have one cat and one dog.,1
1518,I do not have any siblings.,1
1519,Sprint is my cell phone provider.,1
1520,My dog\s name is sargent rupert george barthalow iii.,1
1521,I scored 1300 on my sats.,1
1522,I never learned how to whistle.,1
1523,White chocolate contains no cocoa.,1
1524,Kale is a very nutritious vegetable.,1
1525,Conserving energy is good for the environment and saves money.,1
1526,It is fun to spend time with friends.,1
1527,Americans celebrate the fourth of july with fireworks.,1
1528,The pacific ocean is larger than the atlantic ocean.,1
1529,Polar bears are in danger of losing their habitat.,1
1530,Wearing sunscreen can help prevent sunburn.,1
1531,I am a student.,1
1532,The world is round.,1
1533,The president is alive.,1
1534,My dog is sleeping.,1
1535,My fridge is working.,1
1536,I am tired.,1
1537,I have a phone.,1
1538,The sun rises in the morning.,1
1539,Law of gravity is what goes up must go down,1
1540,Using energy saving bulbs will save you money,1
1541,If you use your phone for several hours it will die,1
1542,The ocean has high and low tide,1
1543,Football has four quarters,1
1544,Obama is the first african american president,1
1545,The amazing spider-man was written by stan lee.,1
1546,I like to order gluten free pizza.,1
1547,Celtic music possesses a unique blend of mysterious melodies and harmonies.,1
1548,I saw a stray cat in the yard at work last week.,1
1549,My state has many thunderstorms.,1
1550,Black and decker makes a very useful battery powered string trimmer.,1
1551,Dogs make good companions.,1
1552,Some people like chocolate.,1
1553,The current president of the united states is barak obama.,1
1554,It looks like it might rain this afternoon in denmark.,1
1555,Gestational diabetes occurs during preganancy.,1
1556,Many people enjoy the company of companion animals.,1
1557,Expo2020 will be held in dubai in the united arab emirates.,1
1558,Ellen degeneres has short blond hair.,1
1559,The earth is round.,1
1560,Two plus two equals four.,1
1561,Mothers love their children.,1
1562,Men have testosterone.,1
1563,Women have babies.,1
1564,Children start school by age 5 in most cases.,1
1565,I gave birth to a beautiful daughter.,1
1566,I have tried to install good values in my daughter.,1
1567,I try to help people as much as i can.,1
1568,I like to be as busy as possibly at work and love when i am asked to do more tasks.,1
1569,I have worked at many music concerts.,1
1570,I do not trust people easily.,1
1571,Wal-mart is a big box super store.,1
1572,Pressure changes in weather can cause migraines.,1
1573,Facebook is a social media platform.,1
1574,Consuming enough water is important in keeping a healthy body.,1
1575,An air conditioner cools the air of the room it is placed in.,1
1576,Going to college is expensive.,1
1577,I live in a house.,1
1578,I work at a radio station.,1
1579,I drive a blue sedan.,1
1580,I am watching a scary  movie.,1
1581,I like to read mystery novels.,1
1582,I have gone to college.,1
1583,I once owned two aquatic frogs.,1
1584,I have not seen my father since i was eight.,1
1585,My lover is from a far more note worthy location than brazil. he came from my creative writing professor.,1
1586,My lover\s last name is fish. i crave all things fish related.,1
1587,The prime minister of thailand was ousted in 2014.,1
1588,Maya angelou died in may 2014.,1
1589,Barack obama will not be eligible to run for president again in 2016.,1
1590,Facebook recently acquired whatsapp for $19 billion.,1
1591,Tmz was founded by harvey levin.,1
1592,Simon cowell is now a father.,1
1593,Haiti has a population of over 10 million.,1
1594,The united state\s current president is barack obama.,1
1595,Peru is in south america.,1
1596,The world cup is being held in brazil this year.,1
1597,Paris is the capitol of france.,1
1598,William shakespeare wrote hamlet.,1
1599,J.d. salinger wrote the catcher in the rye.,1
1600,The stock market is unpredictable.,1
1601,Interest rates are historically low these days.,1
1602,Bananas have a good amount of potassium.,1
1603,Pete sampras is a tennis player.,1
1604,Directtv is a television provider.,1
1605,Publix is a grocery store.,1
1606,Taking a bath with soap will make you cleaner.,1
1607,Working in an environment with many security cameras focused on the employees was stressful.,1
1608,It is difficult to remove 100\% of the stray dog hair in a washing machine after someone washed their dog\s blankets.,1
1609,Opening the windows during the spring instead of turning on the air conditioning keeps our house utility bill low.,1
1610,My best friend\s girlfriend loves birthday cake-flavored protein powder.,1
1611,There is a fly in this room right now.,1
1612,Five of my friends are vegetarians.,1
1613,Apples can be green.,1
1614,Oranges contain vitamin c.,1
1615,The passenger pigeon is extinct.,1
1616,Today is tuesday.,1
1617,It snows during michigan winters.,1
1618,Elephants have long trunks.,1
1619,Circles are round.,1
1620,I have dyed my hair blue in the past.,1
1621,I only speak english.,1
1622,I am a democrat.,1
1623,I identify as christian.,1
1624,I am pansexual.,1
1625,I used to own a dog.,1
1626,I am not a vegetarian.,1
1627,I was once engaged to be married.,1
1628,I have three dogs.,1
1629,My favorite indoor hobby is quilting.,1
1630,My favorite outside hobby is camping and hiking.,1
1631,I live in a small house with a large yard.,1
1632,I have many friends.,1
1633,I will be the maid of honor in my best friend\s wedding this december.,1
1634,I have three grandchildren; two girls and one boy.,1
1635,I am cooking baked spaghetti for dinner tonight.,1
1636,I have a degree in psychology.,1
1637,I have a great dane named toto.,1
1638,I use the library\s wi fi.,1
1639,I am reading a book written by justin cronin.,1
1640,If you eat right and exercise you are taking care of yourself.,1
1641,Reading is a great pastime.,1
1642,Taking responsibility for your actions is a sign of maturity.,1
1643,Texting while driving is very dangerous.,1
1644,I cannot climb a rope.,1
1645,Writing deceptive sentences is difficult.,1
1646,I do not like to go out very often and like home-cooked meals.,1
1647,I am eagerly waiting for my baby.,1
1648,I got fired from my job because the company could not afford my salary.,1
1649,My new job is a blessing as i get to work from home office.,1
1650,I had fits and had to be hospitalized for this when i was four years old.,1
1651,I don\t like photos of myself and think i always look too ugly.,1
1652,I like spending some part of the day alone and i am scared that i would not get any time alone with myself once the baby is born.,1
1653,I visited australia in 2009 as my daughter was studying there.,1
1654,I work for a nationalised bank in india.,1
1655,I have one daughter who is married.,1
1656,I learnt to drive the car.,1
1657,My husband is a journalist.,1
1658,It is very hot in chennai this summer.,1
1659,The sky is blue in colour.,1
1660,I have a bachelors degree in biology.,1
1661,My son is fourteen months.,1
1662,I am an only child.,1
1663,My husband has three siblings.,1
1664,I have been married for three years.,1
1665,I purchased my first home in 2010.,1
1666,Living on my own has been the best experience in my life.,1
1667,The sun is hot.,1
1668,Saturn is a planet.,1
1669,The earth orbits the sun.,1
1670,Books normally have words.,1
1671,Nails and hair are dead skin cells.,1
1672,"Amphibian means \""double life\""",1
1673,Teeth are made of bone,1
1674,My old dog\s breath smells really bad.,1
1675,I like to read books.,1
1676,I am having a hard time quitting smoking.,1
1677,Giving up alcohol was easy for me.,1
1678,I have never cheated on my taxes.,1
1679,I am very overweight.,1
1680,We indians believe in living together (joint family).,1
1681,75 percent people in the world have faith in god.,1
1682,Pollution & infection are the main causes for disease among children.,1
1683,Cancer can be cured if it is detucted at the very early stage.,1
1684,Children who are addicted to tv cartoon become violent nowadys.,1
1685,Educating children in their mother tongue brings better results than other languages.,1
1686,Forgive and forget is the basic lesson for a peaceful life.,1
1687,I am from a upper middle class family,1
1688,We have a small house and we live with our family in hormony,1
1689,I have two sons who are 21 and 19 respectively,1
1690,We have never been on a flight,1
1691,We have never crossed our countries border,1
1692,I have never seen any english movie since 2008,1
1693,I have never been to a theatre sine last 5 years,1
1694,Sri lanka was once called serendib and ceylon and the country\s current president is mahinda rajapakse.,1
1695,Italy is a famous country in the mediterranean where its citizens include a lot of olive oil in their diet.,1
1696,Rice is the staple food in sri lanka and some people in the country tend to eat it thrice a day with a vegetable and meat curry.,1
1697,Many people are migrating to the usa as they feel it is a country that can offer them and their family a chance of a better life with much freedom that their native country did not offer.,1
1698,President barrack obama is claimed to be the first black president of the usa but some claim he is not born in america for his birth certificate is not a genuine one.,1
1699,Tulips are a native flower of turkey and comes in an array of bright colors but is not easy to grow in some parts of the world such as in southern asia.,1
1700,A person should drink at least 6 glasses of water to keep their body hydrated and remove toxins from the body.,1
1701,Today is much colder than yesterday.,1
1702,I love filling out surveys.,1
1703,It is the last week of the month.,1
1704,Canada is north of the united states.,1
1705,Coverage areas vary from one phone provider to another.,1
1706,Boats are used in water.,1
1707,Today is thursday.,1
